last,first,Unit
Santamaría Graff,Cristina,School of Education
Sugawara,Carmen,School of Social Work
Martinez Mier,E Angeles,School of Dentistry
Ene,Estela,School of Liberal Arts
Tucker Edmonds,Joseph,School of Liberal Arts
Hong,Youngbok,Herron School of Art + Design
Bucher,Sherri,Fairbanks School of Public Health
Wilburn,Victoria,School of Health and Human Sciences
Copeland,Andrea,"Luddy School of Informatics, Computing, and Engineering"
Yoon,Ayong,"Luddy School of Informatics, Computing, and Engineering"
Herzog,Patricia Snell,Lilly Family School of Philanthropy
Coates,Heather,University Library
Odell,Jere,University Library
Keith,Caleb,Office of Research
Messmore,Nikki,School of Medicine
Holzman,Laura,Herron School of Art + Design